Date,Count
6/12/2010,6
6/13/2010,8
6/14/2010,5
6/15/2010,2
6/16/2010,3
6/17/2010,2
6/18/2010,3
6/19/2010,7
6/20/2010,15
6/21/2010,8
6/22/2010,3
6/23/2010,1
6/24/2010,3
6/25/2010,6
6/26/2010,10
6/27/2010,10
6/28/2010,6
6/29/2010,6
6/30/2010,11
7/1/2010,1
7/2/2010,7
7/3/2010,5
7/4/2010,10
7/5/2010,10
7/6/2010,2
7/7/2010,4
7/8/2010,7
7/9/2010,3
7/10/2010,2
7/11/2010,8
7/12/2010,2
7/13/2010,2
7/14/2010,5
7/15/2010,6
7/16/2010,4
7/17/2010,7
7/18/2010,13
7/19/2010,12
7/20/2010,4
7/21/2010,4
7/22/2010,4
7/23/2010,5
7/24/2010,4
7/25/2010,6
7/26/2010,5
7/27/2010,2
7/28/2010,6
7/29/2010,4
7/30/2010,2
7/31/2010,12
8/1/2010,11
8/2/2010,6
8/3/2010,3
8/4/2010,3
8/5/2010,3
8/6/2010,4
8/7/2010,14
8/8/2010,10
8/9/2010,7
8/10/2010,7
8/11/2010,4
8/12/2010,2
8/13/2010,2
8/14/2010,9
8/15/2010,10
8/16/2010,4
8/17/2010,2
8/18/2010,1
8/19/2010,4
8/20/2010,3
8/21/2010,7
8/22/2010,9
8/23/2010,4
8/24/2010,2
8/25/2010,4
8/26/2010,4
8/27/2010,2
8/28/2010,6
8/29/2010,9
8/30/2010,3
8/31/2010,4
9/1/2010,8
9/2/2010,4
9/3/2010,10
9/4/2010,2
9/5/2010,3
9/6/2010,8
9/7/2010,1
9/8/2010,3
9/9/2010,5
9/10/2010,3
9/11/2010,9
9/12/2010,6
9/13/2010,1
9/14/2010,3
9/15/2010,1
9/16/2010,1
9/17/2010,3
9/18/2010,9
9/19/2010,7
9/20/2010,3
9/21/2010,3
9/22/2010,5
9/23/2010,5
9/24/2010,13
9/25/2010,7
9/26/2010,5
9/27/2010,1
9/28/2010,5
9/29/2010,6
9/30/2010,3
10/1/2010,4
10/2/2010,2
10/3/2010,5
10/4/2010,5
10/5/2010,4
10/6/2010,4
10/7/2010,4
10/8/2010,1
10/9/2010,6
10/10/2010,5
10/11/2010,2
10/12/2010,4
10/13/2010,2
10/14/2010,2
10/15/2010,2
10/16/2010,3
10/17/2010,2
10/18/2010,2
10/20/2010,4
10/21/2010,1
10/22/2010,3
10/23/2010,5
10/24/2010,4
10/25/2010,3
10/26/2010,5
10/27/2010,5
10/28/2010,8
10/29/2010,2
10/30/2010,3
10/31/2010,7
11/1/2010,4
11/2/2010,2
11/4/2010,1
11/5/2010,2
11/6/2010,7
11/7/2010,5
11/8/2010,5
11/9/2010,2
11/10/2010,2
11/11/2010,2
11/12/2010,4
11/13/2010,9
11/14/2010,7
11/15/2010,1
11/16/2010,2
11/19/2010,3
11/20/2010,7
11/21/2010,8
11/22/2010,5
11/23/2010,2
11/24/2010,2
11/25/2010,3
11/26/2010,6
11/27/2010,3
11/28/2010,4
11/29/2010,6
11/30/2010,4
12/1/2010,2
12/3/2010,3
12/4/2010,5
12/5/2010,6
12/6/2010,4
12/7/2010,4
12/9/2010,1
12/10/2010,4
12/11/2010,6
12/12/2010,5
12/13/2010,6
12/14/2010,1
12/15/2010,2
12/16/2010,3
12/17/2010,2
12/18/2010,6
12/19/2010,2
12/20/2010,2
12/21/2010,2
12/22/2010,3
12/23/2010,3
12/24/2010,3
12/25/2010,4
12/26/2010,8
12/27/2010,3
12/28/2010,3
12/29/2010,2
12/30/2010,4
12/31/2010,9
1/1/2011,12
1/2/2011,2
1/3/2011,1
1/5/2011,3
1/6/2011,4
1/8/2011,1
1/9/2011,3
1/10/2011,4
1/11/2011,2
1/12/2011,1
1/13/2011,2
1/14/2011,4
1/15/2011,4
1/16/2011,8
1/17/2011,2
1/18/2011,1
1/19/2011,1
1/20/2011,1
1/21/2011,4
1/22/2011,3
1/23/2011,3
1/24/2011,2
1/25/2011,1
1/27/2011,2
1/28/2011,1
1/29/2011,4
1/30/2011,2
1/31/2011,5
2/1/2011,1
2/2/2011,6
2/3/2011,2
2/4/2011,2
2/5/2011,4
2/6/2011,6
2/7/2011,3
2/8/2011,1
2/9/2011,2
2/10/2011,3
2/11/2011,4
2/12/2011,4
2/13/2011,4
2/14/2011,3
2/15/2011,1
2/16/2011,3
2/17/2011,2
2/18/2011,2
2/20/2011,6
2/21/2011,2
2/24/2011,2
2/25/2011,4
2/26/2011,3
2/27/2011,5
2/28/2011,2
3/1/2011,3
3/2/2011,1
3/4/2011,2
3/5/2011,6
3/6/2011,3
3/7/2011,1
3/8/2011,2
3/9/2011,1
3/10/2011,2
3/11/2011,2
3/12/2011,5
3/13/2011,5
3/14/2011,1
3/16/2011,3
3/17/2011,5
3/18/2011,2
3/19/2011,7
3/20/2011,3
3/21/2011,2
3/22/2011,4
3/23/2011,3
3/24/2011,1
3/25/2011,3
3/26/2011,3
3/27/2011,2
3/28/2011,2
3/29/2011,1
3/30/2011,1
3/31/2011,1
4/1/2011,4
4/2/2011,8
4/3/2011,3
4/4/2011,1
4/5/2011,1
4/6/2011,5
4/7/2011,4
4/8/2011,4
4/9/2011,2
4/10/2011,3
4/11/2011,7
4/12/2011,3
4/13/2011,1
4/14/2011,3
4/15/2011,1
4/16/2011,4
4/17/2011,4
4/18/2011,3
4/19/2011,2
4/20/2011,1
4/22/2011,1
4/23/2011,3
4/24/2011,4
4/25/2011,8
4/26/2011,6
4/27/2011,8
4/28/2011,4
4/29/2011,3
4/30/2011,8
5/1/2011,6
5/2/2011,3
5/3/2011,4
5/5/2011,5
5/7/2011,5
5/8/2011,3
5/9/2011,5
5/10/2011,5
5/11/2011,5
5/12/2011,3
5/13/2011,2
5/14/2011,3
5/15/2011,5
5/16/2011,1
5/17/2011,2
5/18/2011,4
5/19/2011,7
5/20/2011,1
5/21/2011,6
5/22/2011,2
5/23/2011,2
5/24/2011,7
5/25/2011,3
5/26/2011,2
5/27/2011,5
5/28/2011,6
5/29/2011,10
5/30/2011,13
5/31/2011,6
6/1/2011,3
6/2/2011,4
6/3/2011,2
6/4/2011,3
6/5/2011,6
6/6/2011,2
6/7/2011,5
6/8/2011,4
6/9/2011,5
6/10/2011,5
6/11/2011,5
6/12/2011,3
6/14/2011,1
6/15/2011,4
6/16/2011,2
6/17/2011,4
6/18/2011,8
6/19/2011,10
6/20/2011,4
6/21/2011,6
6/22/2011,3
6/23/2011,2
6/24/2011,5
6/25/2011,4
6/26/2011,10
6/27/2011,3
6/28/2011,5
6/29/2011,3
6/30/2011,5
7/1/2011,2
7/2/2011,8
7/3/2011,6
7/4/2011,7
7/5/2011,14
7/6/2011,3
7/7/2011,5
7/8/2011,4
7/9/2011,5
7/10/2011,9
7/11/2011,5
7/12/2011,4
7/13/2011,5
7/14/2011,3
7/15/2011,7
7/16/2011,9
7/17/2011,12
7/18/2011,5
7/19/2011,1
7/20/2011,5
7/21/2011,6
7/22/2011,2
7/23/2011,6
7/25/2011,8
7/26/2011,2
7/27/2011,7
7/28/2011,9
7/29/2011,3
7/30/2011,6
7/31/2011,6
8/1/2011,6
8/2/2011,6
8/3/2011,1
8/4/2011,8
8/5/2011,7
8/6/2011,12
8/7/2011,7
8/8/2011,7
8/9/2011,6
8/10/2011,3
8/11/2011,2
8/12/2011,6
8/13/2011,7
8/14/2011,4
8/15/2011,4
8/16/2011,7
8/17/2011,5
8/18/2011,3
8/19/2011,2
8/20/2011,3
8/21/2011,10
8/22/2011,3
8/23/2011,6
8/24/2011,3
8/25/2011,7
8/26/2011,6
8/27/2011,8
8/28/2011,1
8/29/2011,14
8/30/2011,6
8/31/2011,9
9/1/2011,3
9/2/2011,8
9/3/2011,11
9/4/2011,21
9/5/2011,8
9/6/2011,2
9/7/2011,3
9/8/2011,3
9/9/2011,5
9/10/2011,7
9/11/2011,10
9/12/2011,4
9/13/2011,1
9/14/2011,4
9/15/2011,2
9/16/2011,4
9/17/2011,6
9/18/2011,8
9/19/2011,4
9/20/2011,3
9/21/2011,6
9/22/2011,2
9/23/2011,4
9/24/2011,6
9/25/2011,12
9/26/2011,2
9/27/2011,7
9/28/2011,5
9/29/2011,2
9/30/2011,5
10/1/2011,4
10/2/2011,5
10/3/2011,3
10/4/2011,6
10/5/2011,1
10/6/2011,1
10/7/2011,3
10/8/2011,5
10/9/2011,11
10/10/2011,7
10/11/2011,3
10/12/2011,5
10/13/2011,3
10/14/2011,8
10/15/2011,11
10/16/2011,12
10/17/2011,9
10/18/2011,4
10/19/2011,1
10/20/2011,5
10/21/2011,5
10/22/2011,11
10/23/2011,5
10/24/2011,4
10/27/2011,1
10/28/2011,7
10/29/2011,4
10/30/2011,6
10/31/2011,5
11/1/2011,3
11/2/2011,3
11/4/2011,3
11/5/2011,3
11/6/2011,2
11/7/2011,5
11/8/2011,4
11/9/2011,5
11/10/2011,2
11/11/2011,5
11/12/2011,6
11/13/2011,8
11/14/2011,1
11/15/2011,4
11/16/2011,2
11/17/2011,4
11/18/2011,3
11/19/2011,4
11/20/2011,8
11/21/2011,5
11/22/2011,4
11/23/2011,5
11/24/2011,6
11/25/2011,5
11/26/2011,3
11/27/2011,3
11/28/2011,2
11/29/2011,3
12/1/2011,2
12/2/2011,6
12/3/2011,7
12/4/2011,8
12/5/2011,5
12/6/2011,3
12/7/2011,1
12/8/2011,3
12/10/2011,6
12/11/2011,4
12/12/2011,6
12/13/2011,4
12/14/2011,4
12/15/2011,4
12/16/2011,3
12/17/2011,4
12/18/2011,4
12/19/2011,2
12/21/2011,4
12/22/2011,5
12/23/2011,2
12/24/2011,3
12/25/2011,4
12/26/2011,6
12/27/2011,5
12/28/2011,1
12/29/2011,1
12/30/2011,3
12/31/2011,9
1/1/2012,11
1/2/2012,2
1/3/2012,2
1/4/2012,1
1/5/2012,3
1/6/2012,4
1/7/2012,3
1/8/2012,2
1/9/2012,2
1/10/2012,3
1/11/2012,3
1/12/2012,3
1/13/2012,4
1/14/2012,2
1/15/2012,1
1/16/2012,3
1/17/2012,1
1/18/2012,3
1/19/2012,2
1/20/2012,2
1/21/2012,9
1/22/2012,3
1/23/2012,1
1/24/2012,3
1/25/2012,1
1/26/2012,1
1/27/2012,3
1/28/2012,4
1/29/2012,3
1/30/2012,2
1/31/2012,4
2/1/2012,3
2/2/2012,3
2/4/2012,5
2/5/2012,6
2/8/2012,6
2/10/2012,2
2/11/2012,7
2/13/2012,7
2/14/2012,1
2/16/2012,3
2/17/2012,3
2/18/2012,6
2/19/2012,3
2/20/2012,1
2/21/2012,5
2/22/2012,1
2/23/2012,2
2/24/2012,2
2/25/2012,7
2/26/2012,6
2/27/2012,3
2/28/2012,1
3/1/2012,3
3/2/2012,4
3/3/2012,6
3/4/2012,3
3/5/2012,2
3/6/2012,3
3/7/2012,2
3/8/2012,7
3/9/2012,1
3/10/2012,5
3/11/2012,5
3/12/2012,2
3/13/2012,3
3/14/2012,1
3/15/2012,3
3/16/2012,1
3/17/2012,6
3/18/2012,4
3/19/2012,9
3/20/2012,6
3/21/2012,4
3/22/2012,1
3/23/2012,4
3/24/2012,4
3/25/2012,7
3/26/2012,3
3/27/2012,1
3/30/2012,2
3/31/2012,2
4/1/2012,1
4/2/2012,4
4/3/2012,1
4/4/2012,4
4/5/2012,1
4/6/2012,2
4/7/2012,5
4/8/2012,4
4/9/2012,2
4/10/2012,1
4/11/2012,2
4/12/2012,1
4/13/2012,1
4/14/2012,9
4/15/2012,7
4/16/2012,5
4/17/2012,8
4/18/2012,5
4/19/2012,2
4/20/2012,5
4/21/2012,2
4/22/2012,5
4/23/2012,2
4/24/2012,3
4/25/2012,5
4/26/2012,1
4/27/2012,1
4/28/2012,2
4/29/2012,6
4/30/2012,1
5/1/2012,3
5/2/2012,2
5/3/2012,1
5/4/2012,2
5/5/2012,5
5/6/2012,4
5/8/2012,2
5/9/2012,2
5/10/2012,4
5/11/2012,3
5/12/2012,12
5/13/2012,8
5/14/2012,5
5/15/2012,1
5/16/2012,6
5/17/2012,5
5/19/2012,9
5/20/2012,7
5/21/2012,5
5/22/2012,5
5/23/2012,5
5/24/2012,2
5/25/2012,5
5/26/2012,10
5/27/2012,11
5/28/2012,7
5/29/2012,5
5/30/2012,1
5/31/2012,3
6/1/2012,2
6/2/2012,4
6/3/2012,3
6/4/2012,1
6/5/2012,3
6/6/2012,6
6/7/2012,3
6/8/2012,4
6/9/2012,7
6/10/2012,5
6/11/2012,7
6/12/2012,3
6/13/2012,7
6/14/2012,1
6/15/2012,5
6/16/2012,4
6/17/2012,6
6/18/2012,4
6/19/2012,5
6/20/2012,7
6/21/2012,6
6/22/2012,3
6/23/2012,4
6/24/2012,10
6/25/2012,2
6/26/2012,1
6/27/2012,5
6/28/2012,8
6/29/2012,13
6/30/2012,8
7/1/2012,8
7/2/2012,9
7/3/2012,4
7/4/2012,14
7/5/2012,12
7/6/2012,5
7/7/2012,10
7/8/2012,8
7/9/2012,9
7/10/2012,2
7/11/2012,5
7/12/2012,5
7/13/2012,2
7/14/2012,7
7/15/2012,10
7/16/2012,2
7/17/2012,3
7/18/2012,3
7/19/2012,3
7/20/2012,2
7/21/2012,9
7/22/2012,6
7/23/2012,3
7/24/2012,4
7/25/2012,5
7/26/2012,7
7/27/2012,2
7/28/2012,10
7/29/2012,8
7/30/2012,7
7/31/2012,4
8/1/2012,2
8/2/2012,6
8/3/2012,4
8/4/2012,6
8/5/2012,12
8/6/2012,1
8/7/2012,6
8/8/2012,5
8/9/2012,2
8/10/2012,2
8/11/2012,8
8/12/2012,5
8/13/2012,2
8/14/2012,3
8/15/2012,1
8/16/2012,3
8/17/2012,5
8/18/2012,7
8/19/2012,1
8/20/2012,5
8/21/2012,5
8/22/2012,3
8/23/2012,3
8/24/2012,3
8/25/2012,6
8/26/2012,8
8/27/2012,6
8/28/2012,3
8/29/2012,1
8/30/2012,8
8/31/2012,3
9/1/2012,4
9/2/2012,9
9/3/2012,6
9/4/2012,4
9/5/2012,2
9/6/2012,4
9/7/2012,8
9/8/2012,6
9/9/2012,4
9/12/2012,1
9/13/2012,1
9/14/2012,4
9/15/2012,7
9/16/2012,6
9/17/2012,4
9/18/2012,5
9/20/2012,2
9/21/2012,4
9/22/2012,8
9/23/2012,6
9/24/2012,1
9/25/2012,7
9/26/2012,4
9/27/2012,2
9/28/2012,3
9/29/2012,4
9/30/2012,9
10/1/2012,3
10/2/2012,3
10/3/2012,2
10/4/2012,5
10/6/2012,3
10/7/2012,3
10/8/2012,2
10/9/2012,3
10/10/2012,1
10/12/2012,2
10/13/2012,7
10/14/2012,9
10/15/2012,4
10/16/2012,2
10/17/2012,2
10/18/2012,1
10/19/2012,2
10/20/2012,3
10/21/2012,3
10/22/2012,4
10/23/2012,3
10/24/2012,3
10/25/2012,2
10/26/2012,1
10/27/2012,6
10/28/2012,3
10/29/2012,2
10/30/2012,4
10/31/2012,2
11/1/2012,5
11/2/2012,3
11/3/2012,1
11/4/2012,4
11/5/2012,1
11/6/2012,1
11/7/2012,3
11/8/2012,1
11/9/2012,2
11/10/2012,4
11/11/2012,7
11/13/2012,4
11/14/2012,2
11/15/2012,1
11/16/2012,1
11/17/2012,7
11/19/2012,4
11/20/2012,2
11/21/2012,2
11/22/2012,4
11/23/2012,5
11/24/2012,3
11/25/2012,5
11/27/2012,2
11/28/2012,2
11/29/2012,2
11/30/2012,9
12/1/2012,3
12/2/2012,7
12/3/2012,1
12/4/2012,1
12/5/2012,3
12/6/2012,1
12/7/2012,1
12/8/2012,3
12/9/2012,3
12/10/2012,5
12/11/2012,4
12/12/2012,4
12/13/2012,4
12/14/2012,2
12/16/2012,3
12/17/2012,4
12/19/2012,1
12/20/2012,4
12/21/2012,4
12/22/2012,3
12/23/2012,3
12/24/2012,3
12/25/2012,2
12/27/2012,3
12/28/2012,2
12/29/2012,5
12/30/2012,3
12/31/2012,3
1/1/2013,10
1/2/2013,2
1/3/2013,6
1/4/2013,2
1/5/2013,3
1/6/2013,4
1/7/2013,6
1/8/2013,6
1/9/2013,2
1/10/2013,7
1/11/2013,1
1/12/2013,1
1/13/2013,7
1/14/2013,1
1/15/2013,2
1/16/2013,4
1/17/2013,1
1/18/2013,2
1/19/2013,2
1/20/2013,2
1/21/2013,1
1/22/2013,2
1/23/2013,2
1/24/2013,1
1/25/2013,1
1/26/2013,2
1/27/2013,5
1/28/2013,1
1/29/2013,2
1/30/2013,3
1/31/2013,2
2/1/2013,2
2/2/2013,2
2/4/2013,1
2/5/2013,2
2/6/2013,1
2/7/2013,4
2/8/2013,4
2/9/2013,3
2/10/2013,2
2/12/2013,1
2/13/2013,1
2/14/2013,3
2/15/2013,2
2/16/2013,2
2/17/2013,2
2/18/2013,1
2/19/2013,2
2/20/2013,3
2/21/2013,1
2/22/2013,1
2/23/2013,2
2/24/2013,4
2/25/2013,2
2/26/2013,1
2/27/2013,1
3/1/2013,2
3/2/2013,3
3/3/2013,4
3/5/2013,2
3/6/2013,1
3/7/2013,2
3/9/2013,4
3/10/2013,5
3/11/2013,2
3/12/2013,1
3/13/2013,1
3/14/2013,1
3/15/2013,3
3/16/2013,2
3/17/2013,3
3/18/2013,4
3/19/2013,1
3/20/2013,2
3/22/2013,1
3/23/2013,4
3/24/2013,5
3/25/2013,2
3/27/2013,2
3/28/2013,2
3/29/2013,1
3/30/2013,5
3/31/2013,2
4/1/2013,2
4/2/2013,3
4/3/2013,1
4/4/2013,2
4/5/2013,1
4/6/2013,3
4/7/2013,1
4/8/2013,3
4/9/2013,4
4/10/2013,4
4/11/2013,5
4/12/2013,1
4/13/2013,2
4/14/2013,2
4/15/2013,4
4/16/2013,3
4/18/2013,1
4/19/2013,4
4/20/2013,6
4/21/2013,1
4/22/2013,5
4/23/2013,1
4/24/2013,3
4/25/2013,3
4/26/2013,1
4/27/2013,6
4/28/2013,3
4/29/2013,3
4/30/2013,1
5/2/2013,2
5/3/2013,3
5/4/2013,1
5/5/2013,5
5/6/2013,1
5/7/2013,2
5/8/2013,1
5/9/2013,2
5/10/2013,4
5/11/2013,3
5/12/2013,2
5/13/2013,4
5/14/2013,2
5/15/2013,1
5/16/2013,4
5/17/2013,2
5/18/2013,6
5/19/2013,4
5/20/2013,1
5/21/2013,2
5/22/2013,1
5/23/2013,1
5/24/2013,2
5/25/2013,2
5/26/2013,3
5/27/2013,3
5/28/2013,1
5/29/2013,3
5/30/2013,2
5/31/2013,8
6/1/2013,5
6/2/2013,8
6/3/2013,5
6/4/2013,2
6/5/2013,3
6/8/2013,2
6/9/2013,6
6/10/2013,3
6/11/2013,1
6/12/2013,1
6/13/2013,2
6/14/2013,3
6/15/2013,4
6/16/2013,8
6/17/2013,9
6/18/2013,1
6/19/2013,2
6/21/2013,6
6/22/2013,7
6/23/2013,7
6/24/2013,4
6/25/2013,9
6/26/2013,1
6/27/2013,3
6/28/2013,4
6/29/2013,9
6/30/2013,4
7/1/2013,5
7/2/2013,3
7/4/2013,5
7/5/2013,12
7/6/2013,3
7/7/2013,9
7/8/2013,1
7/9/2013,4
7/10/2013,4
7/11/2013,1
7/12/2013,2
7/13/2013,3
7/14/2013,4
7/15/2013,1
7/16/2013,1
7/17/2013,3
7/18/2013,2
7/19/2013,2
7/20/2013,10
7/21/2013,9
7/22/2013,1
7/23/2013,3
7/24/2013,3
7/26/2013,1
7/27/2013,4
7/28/2013,9
7/29/2013,2
7/30/2013,3
7/31/2013,2
8/1/2013,1
8/2/2013,1
8/3/2013,5
8/4/2013,3
8/5/2013,1
8/6/2013,3
8/8/2013,1
8/9/2013,1
8/10/2013,7
8/11/2013,12
8/12/2013,7
8/13/2013,4
8/14/2013,2
8/15/2013,6
8/16/2013,7
8/17/2013,3
8/18/2013,8
8/20/2013,4
8/21/2013,6
8/22/2013,5
8/23/2013,5
8/24/2013,7
8/25/2013,10
8/26/2013,3
8/27/2013,2
8/28/2013,4
8/29/2013,3
8/30/2013,5
8/31/2013,10
9/1/2013,6
9/2/2013,7
9/3/2013,3
9/4/2013,5
9/5/2013,3
9/6/2013,4
9/7/2013,7
9/8/2013,5
9/9/2013,4
9/11/2013,5
9/12/2013,2
9/13/2013,5
9/14/2013,4
9/15/2013,2
9/17/2013,2
9/18/2013,1
9/19/2013,4
9/20/2013,6
9/21/2013,6
9/22/2013,1
9/23/2013,5
9/24/2013,1
9/25/2013,4
9/26/2013,3
9/27/2013,4
9/28/2013,5
9/29/2013,3
10/1/2013,3
10/2/2013,1
10/3/2013,6
10/4/2013,5
10/5/2013,4
10/6/2013,4
10/7/2013,1
10/8/2013,2
10/9/2013,1
10/10/2013,3
10/11/2013,4
10/12/2013,3
10/13/2013,1
10/14/2013,5
10/15/2013,3
10/16/2013,2
10/17/2013,1
10/18/2013,4
10/19/2013,9
10/20/2013,7
10/22/2013,1
10/23/2013,4
10/24/2013,2
10/25/2013,1
10/26/2013,4
10/27/2013,4
10/28/2013,3
10/29/2013,3
10/30/2013,3
10/31/2013,7
11/1/2013,3
11/2/2013,1
11/3/2013,2
11/5/2013,2
11/6/2013,1
11/8/2013,4
11/9/2013,4
11/10/2013,6
11/11/2013,3
11/12/2013,2
11/13/2013,1
11/14/2013,3
11/15/2013,4
11/16/2013,3
11/17/2013,3
11/18/2013,6
11/19/2013,1
11/20/2013,2
11/21/2013,1
11/22/2013,10
11/23/2013,5
11/24/2013,2
11/25/2013,1
11/26/2013,2
11/27/2013,2
11/29/2013,5
11/30/2013,3
12/1/2013,2
12/2/2013,3
12/3/2013,4
12/4/2013,4
12/5/2013,1
12/6/2013,3
12/7/2013,4
12/8/2013,3
12/10/2013,2
12/11/2013,1
12/13/2013,3
12/14/2013,3
12/15/2013,1
12/16/2013,2
12/18/2013,1
12/19/2013,2
12/20/2013,2
12/21/2013,5
12/22/2013,6
12/23/2013,5
12/24/2013,4
12/25/2013,5
12/26/2013,2
12/27/2013,2
12/28/2013,2
12/29/2013,3
12/30/2013,3
12/31/2013,1
1/1/2014,10
1/2/2014,4
1/3/2014,3
1/4/2014,2
1/5/2014,1
1/6/2014,1
1/7/2014,1
1/8/2014,2
1/9/2014,1
1/10/2014,1
1/11/2014,4
1/12/2014,1
1/13/2014,4
1/14/2014,3
1/15/2014,2
1/16/2014,2
1/17/2014,1
1/18/2014,3
1/19/2014,2
1/20/2014,4
1/21/2014,2
1/22/2014,4
1/24/2014,4
1/25/2014,1
1/26/2014,3
1/29/2014,3
1/30/2014,2
1/31/2014,6
2/1/2014,3
2/2/2014,1
2/3/2014,2
2/4/2014,3
2/5/2014,2
2/6/2014,1
2/7/2014,2
2/9/2014,2
2/10/2014,1
2/11/2014,1
2/12/2014,1
2/14/2014,4
2/15/2014,1
2/16/2014,3
2/17/2014,2
2/18/2014,3
2/19/2014,1
2/20/2014,1
2/21/2014,2
2/22/2014,1
2/23/2014,3
2/24/2014,2
2/26/2014,1
2/27/2014,1
2/28/2014,1
3/1/2014,4
3/2/2014,2
3/3/2014,1
3/7/2014,1
3/8/2014,6
3/9/2014,2
3/10/2014,3
3/11/2014,9
3/12/2014,3
3/13/2014,3
3/14/2014,5
3/15/2014,5
3/16/2014,3
3/17/2014,1
3/19/2014,1
3/20/2014,2
3/22/2014,4
3/23/2014,4
3/24/2014,1
3/25/2014,2
3/26/2014,4
3/27/2014,2
3/28/2014,5
3/29/2014,5
3/30/2014,2
3/31/2014,2
4/1/2014,5
4/2/2014,3
4/3/2014,2
4/5/2014,1
4/6/2014,5
4/7/2014,3
4/8/2014,1
4/9/2014,3
4/10/2014,4
4/11/2014,2
4/12/2014,5
4/13/2014,3
4/14/2014,9
4/15/2014,2
4/17/2014,3
4/18/2014,1
4/19/2014,6
4/20/2014,5
4/22/2014,5
4/24/2014,2
4/25/2014,3
4/26/2014,5
4/27/2014,2
4/28/2014,3
4/29/2014,3
4/30/2014,1
5/1/2014,1
5/2/2014,7
5/4/2014,4
5/5/2014,4
5/6/2014,3
5/7/2014,5
5/8/2014,3
5/9/2014,2
5/10/2014,3
5/11/2014,7
5/12/2014,3
5/13/2014,2
5/14/2014,1
5/15/2014,4
5/16/2014,3
5/17/2014,10
5/18/2014,5
5/19/2014,4
5/20/2014,2
5/21/2014,5
5/22/2014,1
5/23/2014,2
5/24/2014,3
5/25/2014,6
5/26/2014,5
5/27/2014,5
5/28/2014,1
5/29/2014,1
5/30/2014,2
5/31/2014,8
6/1/2014,4
6/2/2014,3
6/3/2014,3
6/4/2014,5
6/5/2014,1
6/6/2014,3
6/7/2014,6
6/8/2014,6
6/9/2014,3
6/10/2014,2
6/11/2014,4
6/12/2014,2
6/13/2014,1
6/14/2014,3
6/15/2014,7
6/16/2014,5
6/17/2014,6
6/18/2014,5
6/19/2014,5
6/20/2014,3
6/21/2014,8
6/22/2014,7
6/23/2014,1
6/24/2014,4
6/25/2014,4
6/26/2014,1
6/27/2014,2
6/28/2014,4
6/29/2014,10
6/30/2014,3
7/1/2014,4
7/2/2014,5
7/3/2014,2
7/4/2014,6
7/5/2014,5
7/6/2014,16
7/7/2014,4
7/8/2014,4
7/9/2014,2
7/10/2014,2
7/11/2014,4
7/12/2014,7
7/13/2014,7
7/14/2014,4
7/15/2014,3
7/16/2014,1
7/17/2014,4
7/18/2014,1
7/19/2014,5
7/20/2014,7
7/21/2014,3
7/22/2014,4
7/23/2014,2
7/25/2014,3
7/26/2014,5
7/27/2014,8
7/28/2014,2
7/29/2014,2
7/30/2014,7
7/31/2014,5
8/1/2014,7
8/2/2014,9
8/3/2014,4
8/4/2014,2
8/5/2014,3
8/6/2014,5
8/8/2014,2
8/9/2014,3
8/10/2014,9
8/11/2014,2
8/12/2014,5
8/13/2014,4
8/14/2014,1
8/15/2014,3
8/16/2014,5
8/17/2014,8
8/18/2014,3
8/19/2014,3
8/20/2014,9
8/21/2014,3
8/22/2014,3
8/23/2014,11
8/24/2014,3
8/25/2014,2
8/26/2014,2
8/27/2014,6
8/28/2014,2
8/29/2014,5
8/30/2014,5
8/31/2014,6
9/1/2014,9
9/3/2014,4
9/4/2014,1
9/5/2014,5
9/6/2014,6
9/7/2014,3
9/8/2014,4
9/9/2014,1
9/10/2014,2
9/11/2014,3
9/12/2014,4
9/13/2014,4
9/14/2014,1
9/15/2014,1
9/16/2014,3
9/17/2014,2
9/18/2014,3
9/19/2014,3
9/20/2014,2
9/21/2014,4
9/22/2014,4
9/23/2014,3
9/24/2014,1
9/25/2014,3
9/26/2014,9
9/27/2014,7
9/28/2014,2
9/29/2014,1
9/30/2014,1
10/1/2014,3
10/2/2014,3
10/3/2014,4
10/4/2014,3
10/5/2014,6
10/6/2014,3
10/7/2014,1
10/8/2014,3
10/9/2014,2
10/10/2014,4
10/11/2014,4
10/12/2014,6
10/13/2014,2
10/15/2014,6
10/16/2014,2
10/17/2014,7
10/18/2014,4
10/19/2014,3
10/22/2014,3
10/23/2014,4
10/24/2014,2
10/25/2014,2
10/26/2014,2
10/27/2014,2
10/28/2014,3
10/29/2014,5
10/30/2014,1
10/31/2014,3
11/1/2014,4
11/2/2014,6
11/3/2014,3
11/4/2014,3
11/5/2014,3
11/6/2014,1
11/7/2014,6
11/8/2014,6
11/9/2014,4
11/10/2014,3
11/11/2014,2
11/12/2014,5
11/13/2014,2
11/14/2014,1
11/15/2014,3
11/18/2014,2
11/19/2014,3
11/20/2014,3
11/21/2014,3
11/22/2014,6
11/23/2014,1
11/24/2014,2
11/25/2014,2
11/26/2014,6
11/27/2014,2
11/28/2014,2
11/29/2014,3
11/30/2014,2
12/1/2014,5
12/2/2014,2
12/3/2014,3
12/5/2014,4
12/6/2014,5
12/7/2014,3
12/8/2014,5
12/9/2014,1
12/11/2014,1
12/12/2014,7
12/13/2014,3
12/14/2014,8
12/15/2014,4
12/16/2014,1
12/17/2014,2
12/18/2014,2
12/19/2014,3
12/20/2014,2
